"Issue ID","Issue Category","PR","Issue Title","File Path","Line Number","Issue Suggestion","Commented Time"
"181","P2","#1071","xpu_cc_toolchain_config.bzl.tpl 大量 Windows/Darwin 死代码未清理","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","218","cpu attr 已限定为 ""local""，建议删除 darwin/x64_windows 分支以减少维护负担和 template 大小（~1500行→~500行）。可标注 TODO 在后续清理 PR 中处理。","2026-06-09T01:53:42Z"
"182","P2","#1071","XPU fusedCopy/fusedStridedCopy 同步 wait 导致流水线阻塞","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","40","去掉 queue.wait()，让 copy 留在 queue 上异步执行，与后续 kernel 自然串行。CUDA 路径也不做 sync，保持对等。如果确实需要同步，应说明原因。","2026-06-09T01:53:42Z"
"183","P2","#1071","XPU sampleGreedy 中 temperature/top_k/top_p 按 batch 循环启动多次 kernel","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","329","温度除法可向量化：构造 temperature tensor [batch_size,1] 后 params.logits /= temp_tensor。top_k 可用 torch::topk 整批操作。这些循环在大 batch 下性能差距显著（O(batch_size) 次 kernel launch vs 1 次）。","2026-06-09T01:53:42Z"
"184","P2","#1071","XPU sampleGreedy 每次调用都做 token_ids.to(device) + transpose + contiguous 再 copy_ 回去","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","300","token_ids 转置 + contiguous 两次会产生两次全量拷贝。考虑只在 device 上原地写入 selected token 到正确位置（params.token_ids[b][step] = selected[b]），避免两次 transpose+contiguous 的冗余拷贝开销。","2026-06-09T01:53:42Z"
"185","P2","#1071","XPU repetition penalty 循环中每个 batch 元素创建临时 freq_count 张量","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","353","可以预分配 [batch_size, vocab_size_padded] 的 freq_count 张量，用 torch::scatter_add_ 批量操作全部 batch，避免循环中重复分配和释放 GPU 内存。","2026-06-09T01:53:42Z"
"186","P2","#1071","getTorchDevice() 不包含 device index，多卡 XPU 场景可能路由到错误设备","rtp_llm/models_py/bindings/core/ExecOps.cc","411","建议改为 `torch::Device(torch::kXPU, static_cast<c10::DeviceIndex>(g_device_id))`，与 CUDA 的默认行为一致（CUDA 依赖 cudaSetDevice 隐式路由，XPU 的 PyTorch 未必有相同行为）","2026-06-09T01:53:42Z"
"187","P2","#1071","getGpuExecStatus 对 XPU 使用 g_device_id（int64_t）直接传给 getDeviceProperties","rtp_llm/models_py/bindings/core/ExecOps.cc","395","统一使用 `static_cast<c10::DeviceIndex>(g_device_id)` 或 `c10::xpu::current_device()` 来获取 device index，与 MemoryEvaluationHelper 保持一致","2026-06-09T01:53:42Z"
"188","P2","#1071","ExpertBalancer 使用 pin_memory()，XPU 未必支持","rtp_llm/cpp/models/eplb/ExpertBalancer.cc","73","在 XPU 编译路径中跳过 pin_memory() 或用 #if USING_XPU 条件编译保护，避免运行时异常","2026-06-09T01:53:42Z"
"189","P2","#1071","XPU initRuntime 未显式设置设备","rtp_llm/models_py/bindings/core/ExecOps.cc","598","与 CUDA/ROCm 路径保持一致，在 initRuntime 中添加 c10::xpu::set_device(static_cast<c10::DeviceIndex>(device_id))，确保多卡场景下初始化阶段的 GPU 分配到正确设备。注释说 ""PyTorch 处理"" 但 C++ 层需显式调用。","2026-06-09T01:53:42Z"
"190","P2","#1071","fusedCopy XPU 路径 queue.wait() 是同步等待，丧失异步优势","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","35","CUDA 版本通过一个 kernel launch 完成所有拷贝（真正的 fused），XPU 这里的 queue.wait() 是阻塞等待所有拷贝完成。如果调用频率高，考虑去掉 wait() 让拷贝异步，由后续的 stream 同步点保证数据一致性（与 CUDA 异步语义一致）。","2026-06-09T01:53:42Z"
"191","P2","#1071","XPU sampleGreedy per-batch for 循环对大 batch 性能差","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","343","repetition/presence/frequency penalty 和 top_k/top_p filtering 都用逐 batch 循环 + XPU tensor 操作，大 batch 时会频繁 launch SYCL kernel。考虑用 batched PyTorch ops（如一次性 scatter_add_ on full batch）减少 kernel 发射次数。当前功能正确但在线服务大 batch 下可能有明显延迟回归。","2026-06-09T01:53:42Z"
"192","P2","#1071","XPU sampleGreedy 直接修改 params.top_p 数据","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","431","std::transform 直接修改 params.top_p 的底层内存，虽然函数接收的是 const GreedyParams& 但 tensor 内部存储可变。如果调用者在 sampleGreedy 后还会使用 top_p 原始值（如 metrics/logging），会观察到被篡改的值。建议使用局部 clone 或避免 in-place 修改。","2026-06-09T01:53:42Z"
"193","P2","#1071","XPU 内存查询使用 caching allocator stats 而非物理空闲内存","rtp_llm/cpp/cache/MemoryEvaluationHelper.cc","70","caching allocator 的 used 不等于物理占用（包含 cached but freed blocks）。CUDA/ROCm 用的是 cudaMemGetInfo/hipMemGetInfo 查物理空闲。如果 XPU 有类似 API（如 syclGetDeviceMemInfo），应优先使用物理值。当前方式可能高估 free 内存，导致 KV cache 过度分配。","2026-06-09T01:53:42Z"
"194","P2","#1071","XPU fusedStridedCopy 按 row 逐行提交 memcpy，大矩阵时 kernel 提交开销大","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","61","如果 src/dst stride 等于 row_bytes（连续），合并为单次 memcpy。否则可用 2D memcpy 或 USM 批量 copy。当前 O(copies*rows) 次 queue.memcpy 提交在大场景下会成为瓶颈。","2026-06-09T01:53:42Z"
"195","P3","#1071","xpu_link_flags 全局 enabled=True 可能导致非 SYCL 目标的链接开销","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","396-408","在 XPU toolchain 下所有 link action 都会带上 -fsycl -lze_loader。对于纯 C++ 工具链目标（非 SYCL），这会额外引入 SYCL runtime 的符号解析开销（虽然 linker 最终会丢弃未引用的符号）。可以考虑像 xpu_sycl_compile 一样默认 disabled，仅在需要时通过 features=[""xpu_link_flags""] 启用。不过这是 XPU 专用 toolchain，影响有限。","2026-06-09T01:53:42Z"
"196","P3","#1071","pip_xpu_torch 超时 3600s 可能不够（PyTorch XPU wheel 体积大）","deps/pip.bzl","71-77","ROCm 的 pip_parse timeout 是 12000s。XPU PyTorch wheel + Intel 运行时依赖体积同样很大，建议在首次使用中观察是否出现超时后再调整。如果 XPU 环境网络较慢或 wheel 较大，可提高到 7200s。","2026-06-09T01:53:42Z"
"197","P3","#1071","XPU requirements 缺少 extra_data 引用 requirements_base.txt","deps/BUILD","83","所有其他 compile_pip_requirements 目标都有 extra_data = [""//:requirements_base.txt""]，XPU 缺失（因为 requirements_xpu.txt 不继承 base）。这是有意设计（注释说明了独立不继承），但 extra_data 也用于 pip-compile 的 -c constraint 参数；如无约束可不加，但建议加一行注释说明为何不需要 extra_data。","2026-06-09T01:53:42Z"
"198","P3","#1071","crosstool wrapper _is_cpp 将 '-x cu' 归为 C++ 路径","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","48","XPU toolchain不应接收 .cu 文件，但 Bazel 可能在 CUDA+XPU 混合配置中传递 -x cu。当前行为（走 icpx）不会静默产生错误结果（icpx 会直接报编译错误），但建议加一行注释说明为何包含 'cu'，以免误导后续开发者。","2026-06-09T01:53:42Z"
"199","P3","#1071","CHECK_CPU 宏在 XPU 上未覆盖 ROCm tensor 类型","rtp_llm/cpp/pybind/th_utils.h","50","改为 `TORCH_CHECK(x.is_cpu(), ...)` 直接检查是否在 CPU 上，对所有平台都正确且简洁","2026-06-09T01:53:42Z"
"200","P3","#1071","NormalModelInputGatherer 中 mm_feature 设备检查调用两次 getTorchDevice()","rtp_llm/cpp/normal_engine/NormalModelInputGatherer.cc","135","提取为局部变量: auto target_device = getTorchDevice(); 然后复用，避免两次函数调用（虽然开销极小）。","2026-06-09T01:53:42Z"
"201","P3","#1071","XPU beam search 中 token_ids_in.gather 产生较大临时 tensor","rtp_llm/models_py/bindings/core/CudaBeamSearchOp.cc","188","expand 是零拷贝的所以 OK，但 gather 的 output token_ids_out 已经预分配在 L184 了，这里 reassign 会导致前一次分配浪费。可直接用 gather 的 out= 参数或者删除 L184 的预分配。","2026-06-09T01:53:42Z"
"202","P0","#1071","XPU 采样惩罚直方图读取未初始化 token,导致越界 scatter_add/错误输出","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","349","按序列有效长度截断直方图:仿照 CUDA 路径用 input_lengths clone 后对前 decoder_batch_size 段覆盖为 sequence_lengths,对每个 b 用 past_tokens = ...slice(0, 0, L_b)(L_b 为该序列有效长度,且不含当前未写入的 step 槽位),再做 scatter_add。否则启用 repetition/presence/frequency penalty 时会读未初始化数据,造成越界非法访存或惩罚计数错误。","2026-06-09T12:34:12Z"
"203","P0","#1071","MTP prefill 后处理用 is_cuda() 判断遗漏 XPU，host 端解引用设备张量","rtp_llm/cpp/normal_engine/speculative/MtpBatchStreamProcessor.cc","234","改为 (new_all_token_ids.is_cuda() || new_all_token_ids.is_xpu()) 或直接无条件 .cpu()（与本函数 362 行 success、KVCacheManager.cc:194、GenerateStream.cc:883 一致）。仅影响 XPU+投机解码(MTP)路径，CUDA/ROCm 不受影响。","2026-06-09T12:34:12Z"
"204","P0","#1071","MTP preparePrefillSpecUpdateInfo 同样 is_cuda() 漏 XPU 致非法访问","rtp_llm/cpp/normal_engine/speculative/MtpBatchStreamProcessor.cc","361","与 234 行同样修复：(is_cuda()||is_xpu()) 或无条件 .cpu()。建议全文件统一用无条件 .cpu()，避免后续再漏配 is_xpu()。","2026-06-09T12:34:12Z"
"205","P2","#1071","编译器内置 include 探测忽略 return_code，失败时静默返回空目录","3rdparty/gpus/xpu_configure.bzl","77-99","在 _get_cxx_inc_directories_impl 中检查 result.return_code，非 0 时用 auto_configure_fail 抛出包含 stderr 的明确错误，避免把“探测失败”推迟成构建期“找不到系统头文件 / undeclared inclusion”的混乱错误。","2026-06-09T12:34:12Z"
"206","P2","#1071","dummy py_runtime 硬编码 /usr/bin/python3，与 --config=xpu 期望的 /opt/venv 不一致","3rdparty/gpus/xpu_configure.bzl","184","dummy py_runtime 也复用 _get_python_bin() 探测到的解释器(或至少与 PYTHON_BIN_PATH 对齐)，避免 --config=xpu 而 XPU 环境缺失时用错误/可能不存在的解释器导致隐晦失败。","2026-06-09T12:34:12Z"
"207","P2","#1071","torch_xpu 检测 hasattr(torch,'xpu') 过弱，CUDA 版 PyTorch 同样通过","3rdparty/gpus/torch_xpu_configure.bzl","25-27","改用更强判定，如 ""import torch; assert '+xpu' in torch.__version__"" 或检查 torch.xpu.device_count，确保检测到的确为 +xpu 构建，否则尽早 fail 并给出清晰提示。","2026-06-09T12:34:12Z"
"208","P2","#1071","cc_toolchain_config 的 cpu 属性限制为 values=[""local""]，但 BUILD.tpl 仍实例化 darwin/x64_windows 配置","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","1459","将 values 恢复为 [""darwin"",""local"",""x64_windows""]，与 BUILD.tpl 的三处实例化及 impl 内部分支保持一致。当前在 x86_64 Linux XPU 构建下因 cc_toolchain_suite/--cpu=k8 懒解析不会触发(故为潜在问题非阻塞)，但一旦 darwin/windows toolchain 被 configure 即报 invalid value，属无谓偏离模板。","2026-06-09T12:34:12Z"
"209","P2","#1071","pip_xpu_torch 使用 /opt/venv/bin/python3(3.12)，被 arch_select 无条件 load，可能拖垮非 XPU 构建(未能离线确认)","deps/pip.bzl","74","确认所有构建镜像(含 CUDA/ROCm)均存在 /opt/venv/bin/python3；或在 arch_select.bzl 中改为按平台条件 load/或让 hub 创建不强依赖该解释器。未能离线核实镜像文件系统与该 rules_python 版本 hub 行为，标记为 unverified——需跨文件/环境确认(潜在 P0)。","2026-06-09T12:34:12Z"
"210","P2","#1071","XPU pip 解释器路径 /opt/venv/bin/python3 与全局不一致，且被无条件加载——非 XPU 平台可能全量构建失败","deps/pip.bzl","71-77","确认 /opt/venv/bin/python3 是否在所有构建容器中存在；若仅 XPU 容器有，则将 @pip_xpu_torch 的无条件 load/install_deps 改为按平台条件化（参考其它平台 pip 的延迟引用），或统一解释器路径，避免把 XPU 专用解释器强加到所有平台。该项因容器内是否存在该解释器无法在仓内确认，若确认缺失则为 P1。","2026-06-09T12:34:12Z"
"211","P2","#1071","torch_xpu_configure dummy 分支产出不可用的 stub：软链 BUILD.pytorch 却不创建其硬编码的 torch/lib/*.so","3rdparty/gpus/torch_xpu_configure.bzl","28-33","dummy 分支不要直接软链 BUILD.pytorch，而应写一个最小 stub BUILD（空 cc_library torch/torch_api/torch_libs，或 glob 形式 srcs），或为引用到的 .so/头文件创建占位空文件，参考 xpu_configure.bzl 的 _create_dummy_repository。","2026-06-09T12:34:12Z"
"212","P2","#1071","XPU fusedCopy/fusedStridedCopy/multiMergeCopy 每次调用强制 queue.wait() 冗余主机同步","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","40","对 D2D 拷贝去掉 queue.wait()，依赖 in-order 流的天然顺序，避免每次 KV cache 拷贝都阻塞 host、破坏 CPU/GPU 流水重叠；若后续真有 host 消费需求改用 event 而非全局 wait。","2026-06-09T12:34:12Z"
"213","P2","#1071","XPU 路径逐行/逐 batch 提交导致 O(N) 启动开销","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","61","strided 拷贝可在连续行时合并为单次 memcpy；sampling 的 top_k/top_p 尽量用整批向量化算子（如批量 topk + masked_fill）替代 per-batch Python 式循环，减少 XPU 上的提交/启动开销。","2026-06-09T12:34:12Z"
"214","P2","#1071","XPU temperature==0 在混合 batch 下退化为采样而非贪心","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","384","在通用路径中对 t==0 的行单独走 argmax(或将 t==0 行强制 top_k=1),保证 temperature=0 在混合 batch 中仍是贪心。需确认上游是否已把 temperature=0 归一为 do_sample=false;若是则可降级。","2026-06-09T12:34:12Z"
"215","P2","#1071","XPU 对 do_sample=false 行仍应用惩罚,与 CUDA 行为不一致","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","339","对 do_sample=false 行跳过惩罚(或还原原始 logits 后再 argmax),与 CUDA 参考保持一致。","2026-06-09T12:34:12Z"
"216","P2","#1071","XPU getGpuExecStatus 空闲显存估算偏大,可能导致 KV cache 过分配 OOM","rtp_llm/models_py/bindings/core/ExecOps.cc","397","改用 XPU runtime 的真实空闲显存查询(如 sycl device free_memory / level-zero memory query),或至少把 reserved_bytes 计入 used,避免高估空闲导致 KV cache 过分配。","2026-06-09T12:34:12Z"
"217","P2","#1071","XPU beam search 缺少首步去重,初始相同 beam 会坍缩多样性","rtp_llm/models_py/bindings/core/CudaBeamSearchOp.cc","170","首步(所有 beam 相同)仅在 beam 0 上做 top-k 扩展。需确认本引擎 beam search 是否经此路径处理首步;若首步在别处展开则可降级。","2026-06-09T12:34:12Z"
"218","P2","#1071","XPU sampleGreedy 丢失了 presence/frequency 可选值检查（CUDA/ROCm 两路都有）","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","339-342","在 if (repetition_penalty.has_value()) 之后补上 RTP_LLM_CHECK(params.presence_penalty.has_value() && params.frequency_penalty.has_value());，与 CUDA/ROCm 两路保持一致。","2026-06-09T12:34:12Z"
"219","P2","#1071","XPU runtimeSyncAndCheck 只同步当前流，弱化了 device 级 barrier 语义","rtp_llm/models_py/bindings/core/ExecOps.cc","108-110","改用 c10::xpu::syncStreamsOnDevice(static_cast<c10::DeviceIndex>(g_device_id))（或默认当前设备），匹配 CUDA/ROCm 的整设备同步语义。","2026-06-09T12:34:12Z"
"220","P2","#1071","XPU sampleGreedy 忽略 params.generator，seeded 采样的可复现性被静默丢弃","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","451","将 params.generator 透传给 torch::multinomial（其支持可选 Generator），或至少在传入已定义 generator 时打印明确告警，与 CUDA/ROCm 行为对齐。","2026-06-09T12:34:12Z"
"221","P2","#1071","XPU sampleGreedy 混合 batch 中 temperature==0 的行会回退到随机采样","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","326-398","按行处理 temperature==0（将这些行强制走 argmax / top_k=1），而非仅在整 batch 全 0 时短路，确保混合 batch 仍尊重温度0的确定性。","2026-06-09T12:34:12Z"
"222","P2","#1071","XPU 可用显存按 caching allocator 统计估算偏大，KV pool 启动期 OOM 风险","rtp_llm/cpp/cache/MemoryEvaluationHelper.cc","104","XPU 路径改用真实空闲查询（sycl free_memory）或对 available 乘保守系数；同时让 XPU 支持 warmup 或显式给 max_consumed_bytes 赋值，恢复纠偏兜底。共卡/碎片场景下当前估算可致 KV pool 硬分配 OOM。","2026-06-09T12:34:12Z"
"223","P3","#1071","wrapper 写入临时 params 文件失败时泄漏已落盘的临时文件","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","119-127","mkstemp 成功后立即 tmp_files.append(tmp_path)(写入之前)，或在 except 分支内对 tmp_path 执行 os.unlink，保证异常路径不泄漏临时文件。","2026-06-09T12:34:12Z"
"224","P3","#1071","_oneapi_root 在 ONEAPI_ROOT 已设但路径不存在时返回未校验值","3rdparty/gpus/xpu_configure.bzl","110-121","当 ONEAPI_ROOT 已设但 repository_ctx.path(oneapi_root).exists 为 False 时，回退到默认路径探测或直接 auto_configure_fail，避免静默使用无效根目录。","2026-06-09T12:34:12Z"
"225","P3","#1071","XPU toolchain 所有 hardening flag 被注释关闭","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","430-462","已有 TODO 跟踪；建议尽快验证 icx/icpx 兼容性后逐步恢复加固 flag(至少 -fstack-protector 与 -Wl,-z,relro,-z,now)，避免长期以无加固方式产出生产二进制。","2026-06-09T12:34:12Z"
"226","P3","#1071","wrapper subprocess.call 未处理编译器不存在/不可执行","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","153-154","捕获 OSError，向 stderr 打印简洁错误(如“xpu wrapper: cannot exec <compiler>”)并返回非 0 退出码,改善排错体验。","2026-06-09T12:34:12Z"
"227","P3","#1071","xpu_link_flags 特性(enabled=True)给所有动态库/可执行链接加 -fsycl -lze_loader","3rdparty/gpus/crosstool/xpu_cc_toolchain_config.bzl.tpl","396","若仅个别目标需要 SYCL 运行时，考虑改为按目标 features/linkopts 启用，避免所有产物引入对 Intel 运行时的全局链接依赖(功能正确，仅为部署/体积优化)。","2026-06-09T12:34:12Z"
"228","P3","#1071","torch_xpu_configure 无 python3 时生成的 dummy BUILD 不含任何 target，与另一分支不一致","3rdparty/gpus/torch_xpu_configure.bzl","20","两条 dummy 分支统一行为(均 symlink build_file 或均写最小可解析 stub)。当前仅在 XPU 构建外的极端环境触发，故 P3。","2026-06-09T12:34:12Z"
"229","P3","#1071","torch.xpu 可用性检测 hasattr(torch,'xpu') 偏弱；using_sycl config_setting 为死代码","3rdparty/gpus/torch_xpu_configure.bzl","26","检测可改为更精确的判断(如 torch.xpu.is_available 或后端编译标志)；删除未使用的 using_sycl 或补到 dummy 以保持一致。均不影响 XPU 主路径。","2026-06-09T12:34:12Z"
"230","P3","#1071","torch_xpu_configure 用 ls + 逐条 symlink 复刻 new_local_repository（O(N) 次 fetch 期 syscall），且缺少 TF_NEED_XPU 短路","3rdparty/gpus/torch_xpu_configure.bzl","46-58","改用 new_local_repository(path=site_packages, build_file=...) 或单次 symlink 整目录；并为本 rule 加 TF_NEED_XPU 门控（加入 environ），未请求 XPU 时直接走 dummy，省去 import torch 与 ls/symlink 循环。","2026-06-09T12:34:12Z"
"231","P3","#1071","get_cxx_inc_directories 在 repo 配置期对编译器执行两次（C 与 C++），C 结果通常是 C++ 的子集","3rdparty/gpus/xpu_configure.bzl","101-108","仅跑 C++ 探测即可，或将 C 探测置于开关后/缓存结果；优先级低，因非每个编译动作触发。","2026-06-09T12:34:12Z"
"232","P3","#1071","xpu_headers 对目录软链做 glob(['xpu/include/**'])，可能不被 Bazel 追踪/返回空（未验证）","3rdparty/gpus/xpu/BUILD.tpl","11-20","改为逐条软链 include 下条目（如 torch_xpu_configure 那样）使 per-file glob 命中，或显式声明头文件集合，避免依赖对目录软链的 glob；建议在远程/沙箱 XPU 构建上验证 hdrs 非空。","2026-06-09T12:34:12Z"
"233","P3","#1071","XPU sampleGreedy 每步存在多次 transpose+contiguous 与整张 logits 拷贝","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","413","复用 transposed 视图避免重复 contiguous 往返；若下游不依赖 logits 持有概率，可省去 params.logits.copy_(probs_t) 的整张拷贝。","2026-06-09T12:34:12Z"
"234","P3","#1071","XPU FusedCopy 每次调用 queue.wait() 退化为同步拷贝","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","60","若调用方语义允许异步,去掉 queue.wait() 由后续 stream 顺序保证;或仅在必要处同步。属功能正确、性能次优。","2026-06-09T12:34:12Z"
"235","P3","#1071","g_device_id(int64_t)隐式窄化为 DeviceIndex","rtp_llm/models_py/bindings/core/ExecOps.cc","395","统一 static_cast<c10::DeviceIndex>(g_device_id),避免编译告警与潜在窄化。","2026-06-09T12:34:12Z"
"236","P3","#1071","CudaSampleOp.cc 重复前向声明 getTorchCudaDevice 而非 include ExecOps.h","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","286","直接 #include ""rtp_llm/models_py/bindings/core/ExecOps.h"" 取得 inline 定义,删除手写前向声明,避免依赖跨 TU/跨 .so 的符号发射假设。","2026-06-09T12:34:12Z"
"237","P3","#1071","XPU sampleGreedy 在 do_sample 循环中就地修改调用方持有的 top_k 主机张量","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","316-323","对 top_k 取本地副本（auto top_k_local = params.top_k.clone();）后再覆写，避免改动共享输入张量。","2026-06-09T12:34:12Z"
"238","P3","#1071","XPU beam search scatter 缺少 max_seq_len 边界断言（经核实不可达，仅防御性）","rtp_llm/models_py/bindings/core/CudaBeamSearchOp.cc","199-205","可选：加 RTP_LLM_CHECK 或 write_pos.clamp_max(max_seq_len-1) 显式记录/兜底该不变量，提升满长度边界的可诊断性。","2026-06-09T12:34:12Z"
"239","P3","#1071","XPU beam search 缺少 CUDA 路径的 vocab/beam 形状校验","rtp_llm/models_py/bindings/core/CudaBeamSearchOp.cc","149-173","在 topk 前加 RTP_LLM_CHECK_WITH_INFO(beam_width_out > 0 && (int64_t)beam_width_out <= (int64_t)beam_width_in*vocab_size, ...)，带清晰错误信息。","2026-06-09T12:34:12Z"
"240","P3","#1071","getGpuExecStatus(XPU) 使用 g_device_id 而非当前活动设备","rtp_llm/models_py/bindings/core/ExecOps.cc","394-400","改用 c10::xpu::current_device()（转 c10::DeviceIndex），或在读 g_device_id 前断言 isRuntimeInitialized()。","2026-06-09T12:34:12Z"
"241","P3","#1071","initRuntime(XPU) 不做设备绑定，静默依赖 Python 先调用 torch.xpu.set_device","rtp_llm/models_py/bindings/core/ExecOps.cc","598-601","在 XPU initRuntime 分支调用 c10::xpu::set_device(static_cast<c10::DeviceIndex>(device_id))（与 cudaPreRun 一致），让 C++ 侧真正按 device_id 绑定，而非依赖外部 Python 状态。","2026-06-09T12:34:12Z"
"242","P3","#1071","多模态 gather 中设备比较恒为真，引入冗余的 no-op .to()","rtp_llm/cpp/normal_engine/NormalModelInputGatherer.cc","135","该条件对已在 GPU 上的 mm_feature 恒为 true（cuda:0 != cuda:-1），始终进入 .to() 分支；torch 的 .to() 在目标即当前设备时会短路返回自身（不拷贝），故无真实拷贝，但每个 feature 多了一次 ensure_has_index→cudaGetDevice 的设备解析，且 else 分支实际永不命中、语义具误导性。建议保持原 is_cuda()||is_xpu() 风格的判断（如 if (!(mm_feature.is_cuda()||mm_feature.is_xpu()))）以表达真实意图并避免冗余设备查询。属极轻微开销，远低于任何可测阈值。","2026-06-09T12:34:12Z"
"243","P1","#1071","XPU 原始概率模式返回了过滤后概率","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","463","当 `return_original_all_probs` 为 true 时写回 `probs_t`，否则写回过滤并重归一化后的 `filtered_probs`；`cum_log_probs` 也保持同一语义。","2026-06-10T07:56:53Z"
"244","P1","#1071","XPU 采样忽略请求级随机种子","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","457","按 batch 行使用 `params.generator[b]` 调用带 generator 的采样/随机数生成，或复用 CUDA 路径的 per-request uniform samples 方案。","2026-06-10T07:56:53Z"
"245","P1","#1071","XPU 更新 cum_log_probs 时会发生跨设备 add_","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","470","按 CUDA 路径处理，把 token_prob.log() 转到 cum_log_probs.value().device() 后再 add_；第 400 行 temperature==0 分支也需要同样修复。","2026-06-10T07:56:53Z"
"246","P1","#1071","XPU repetition/presence/frequency penalty 会读取无效 token 尾部","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","355","按每行真实长度截断历史 token：decode 用 sequence_lengths，context 用 input_lengths；不要对 [0, step) 全量切片做 penalty。","2026-06-10T07:56:53Z"
"247","P1","#1071","XPU 忽略 return_original_all_probs，logprobs original 模式返回被过滤后的概率","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","462","当 return_original_all_probs 为 true 时，把 softmax 后、top_k/top_p 过滤前的原始 probs 写入 output_all_probs，并用同一语义更新 cum_log_probs。","2026-06-10T07:56:53Z"
"248","P1","#1071","TP 同步把 XPU 张量误归类为 CPU","rtp_llm/cpp/models/ModelTypes.cc","292","分类条件改为 `tp->is_cuda() || tp->is_xpu()`；同时把同函数第 214 行 `mm_extra_input` 的 `torch::kCUDA` 改为 `getTorchDevice()`，保证 XPU device tensor 走 device copy/broadcast 路径。","2026-06-10T07:56:53Z"
"249","P1","#1071","Python 多模态路径仍强制转 CUDA，XPU 请求会失败","rtp_llm/cpp/models/PyWrappedModel.cc","424","统一改为 `.to(getTorchDevice())` 或复用已有 device helper；`NormalModelInputGatherer.cc:374` 的 `to(torch::kCUDA)` 也应一并替换，并补 XPU multimodal/extra_input 覆盖。","2026-06-10T07:56:53Z"
"250","P1","#1071","XPU 多模态输入路径仍硬编码 CUDA","rtp_llm/cpp/models/PyWrappedModel.cc","438","把多模态和 extra input 的迁移统一改成 `.to(getTorchDevice())`，并同步修正 `ModelTypes.cc` 中 `mm_extra_input` 的 `torch::kCUDA` 分配。","2026-06-10T07:56:53Z"
"251","P1","#1071","XPU models target 未链接 fusedCopy 实现","rtp_llm/cpp/models/BUILD","147","在 `//:using_xpu` 分支补上 `//rtp_llm/models_py/bindings/common:fuse_copy_op`，确保 XPU 链接到 fusedCopy/fusedStridedCopy 实现。","2026-06-10T07:56:53Z"
"252","P1","#1071","生成的 XPU runtime 标签多了一层 xpu 前缀","3rdparty/gpus/xpu_configure.bzl","300","生成 `xpu/BUILD` 时使用包内相对路径 `lib/libsycl.so`、`lib/libze_loader.so`、`include/**` 和 `includes = [""include"", ""include/sycl""]`，或把 symlink 目标改到 `xpu/xpu/...`。","2026-06-10T07:56:53Z"
"253","P1","#1071","C++ 链接会落到 icx 驱动","3rdparty/gpus/crosstool/clang/bin/crosstool_wrapper_driver_xpu.tpl","142","在重写 params 前展开/扫描原始参数，并对 C++ compile/link action 默认使用 `icpx`；或在 toolchain action_config 中为 `cpp_*` actions 指向 icpx wrapper，不靠源码后缀猜测。","2026-06-10T07:56:53Z"
"254","P2","#1071","XPU fused copy 每次 flush 强制同步","rtp_llm/models_py/bindings/common/FusedCopyOp.cc","40","改为依赖当前 XPU stream/queue 的顺序语义，只在跨 stream 或 D2H 需要 CPU 可见时同步；必要时返回 event 由调用方等待。","2026-06-10T07:56:53Z"
"255","P2","#1071","XPU 采样按 batch 逐行提交 topk/sort","rtp_llm/models_py/bindings/core/CudaSampleOp.cc","424","对统一 top_k/top_p 的常见场景走 batched topk/sort，或补 XPU fused sampling kernel；至少避免每行单独提交多个 PyTorch op。","2026-06-10T07:56:53Z"
